entity:soil2_sample_id	metagenome_size_in_gbp	random_number	singlem_table	sra_accession
DRR001455	4	596	undefined	DRR001455
DRR001465	4	326	undefined	DRR001465
DRR001971	1	843	undefined	DRR001971
DRR101460	16	30	undefined	DRR101460
DRR128718	1	383	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/ea595b6a-4832-4fed-9dde-e7c78cfb7e4f/SingleM_SRA/27daa701-a75e-4c30-90cb-3275e29e9f43/call-singlem/DRR128718.singlem.json.gz	DRR128718
DRR160714	6	533	undefined	DRR160714
DRR160715	6	997	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f66612ba-b5e0-4912-8d44-1f105c12d64d/SingleM_SRA/933d0bd7-12c1-475f-8689-8004a304e784/call-singlem/DRR160715.singlem.json.gz	DRR160715
DRR160716	5	241	undefined	DRR160716
DRR160717	5	141	undefined	DRR160717
ERR1299336	7	811	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f66612ba-b5e0-4912-8d44-1f105c12d64d/SingleM_SRA/185cc32a-e5e8-4f14-99b9-8d67e731d4f4/call-singlem/ERR1299336.singlem.json.gz	ERR1299336
ERR1700674	18	11	undefined	ERR1700674
ERR1700678	13	529	undefined	ERR1700678
ERR1700683	17	457	undefined	ERR1700683
ERR1700702	9	63	undefined	ERR1700702
ERR1700718	7	243	undefined	ERR1700718
ERR1700721	18	611	undefined	ERR1700721
ERR1700746	15	688	undefined	ERR1700746
ERR1742253	17	868	undefined	ERR1742253
ERR1742261	16	475	undefined	ERR1742261
ERR1742262	16	635	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f66612ba-b5e0-4912-8d44-1f105c12d64d/SingleM_SRA/2aa7afd0-e03e-48ec-8e58-78d3dd058bb9/call-singlem/ERR1742262.singlem.json.gz	ERR1742262
ERR1742268	16	827	undefined	ERR1742268
ERR1742275	13	879	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f66612ba-b5e0-4912-8d44-1f105c12d64d/SingleM_SRA/d51538ba-1258-4862-a410-377538acd880/call-singlem/attempt-2/ERR1742275.singlem.json.gz	ERR1742275
ERR1877655	1	831	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f66612ba-b5e0-4912-8d44-1f105c12d64d/SingleM_SRA/a4f2706f-7fd9-44ec-b5ed-6015148c29ec/call-singlem/ERR1877655.singlem.json.gz	ERR1877655
ERR1877661	1	621	undefined	ERR1877661
ERR1877667	1	921	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f66612ba-b5e0-4912-8d44-1f105c12d64d/SingleM_SRA/4d30ad0e-0990-4efc-afd6-5154eb5f0784/call-singlem/ERR1877667.singlem.json.gz	ERR1877667
ERR1877680	3	923	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f66612ba-b5e0-4912-8d44-1f105c12d64d/SingleM_SRA/c3d97a65-4a2e-4c54-b19e-c4a67693daa2/call-singlem/ERR1877680.singlem.json.gz	ERR1877680
ERR1877684	3	194	undefined	ERR1877684
ERR1877685	1	110	undefined	ERR1877685
ERR1877691	1	58	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f66612ba-b5e0-4912-8d44-1f105c12d64d/SingleM_SRA/95765587-0d6b-4a6a-93f5-5c332322ba9a/call-singlem/ERR1877691.singlem.json.gz	ERR1877691
ERR1877698	1	218	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f66612ba-b5e0-4912-8d44-1f105c12d64d/SingleM_SRA/f7e466f8-7bd6-400f-9430-c1f8e89f5109/call-singlem/ERR1877698.singlem.json.gz	ERR1877698
ERR1877700	1	265	undefined	ERR1877700
ERR1877703	1	403	undefined	ERR1877703
ERR1877713	1	162	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f66612ba-b5e0-4912-8d44-1f105c12d64d/SingleM_SRA/5f43e8a2-4a52-4b74-8d5b-b24cee6a5729/call-singlem/ERR1877713.singlem.json.gz	ERR1877713
ERR1877714	1	404	undefined	ERR1877714
ERR1877716	1	313	undefined	ERR1877716
ERR1877717	1	834	undefined	ERR1877717
