entity:soil4_sample_id	metagenome_size_in_gbp	singlem_table	sra_accession
DRR001458	3	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/76724d1a-848b-4c4d-927b-5ae5de199adf/call-singlem/DRR001458.singlem.json.gz	DRR001458
DRR001464	4	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/17e661bf-844b-40f4-82b5-8c52de6e4994/call-singlem/DRR001464.singlem.json.gz	DRR001464
DRR001970	1	undefined	DRR001970
DRR001972	1	undefined	DRR001972
DRR001973	1	undefined	DRR001973
DRR001974	1	undefined	DRR001974
DRR001975	1	undefined	DRR001975
DRR012573	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/3ea87ec8-546d-41ab-9063-e5e646ed9bc4/call-singlem/DRR012573.singlem.json.gz	DRR012573
DRR101455	18	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/725b3ad7-ffd2-4e43-a90f-31deef0d9925/call-singlem/DRR101455.singlem.json.gz	DRR101455
DRR101456	17	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/aecd4758-0aa8-4eb4-89ad-b62ff20fd752/call-singlem/DRR101456.singlem.json.gz	DRR101456
DRR101457	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f0758691-8e4a-45a6-8082-b386d7b89a95/call-singlem/DRR101457.singlem.json.gz	DRR101457
DRR101458	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/697aaf57-057e-47f5-8d2e-ee5f9218776f/call-singlem/DRR101458.singlem.json.gz	DRR101458
DRR101461	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/7ffc003d-88c2-446d-b3c8-7738fb2d4817/call-singlem/DRR101461.singlem.json.gz	DRR101461
DRR101462	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/8d5c4d5d-6506-4283-bf6c-7a6633d05f18/call-singlem/DRR101462.singlem.json.gz	DRR101462
DRR101463	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/9eb7fb26-d621-4fc5-b412-1e8ec0647745/call-singlem/DRR101463.singlem.json.gz	DRR101463
DRR101464	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/31b98493-505f-4923-b6b5-affbc6acc64d/call-singlem/DRR101464.singlem.json.gz	DRR101464
DRR128721	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/6228922c-8cd7-4451-92dd-db222ddf0825/call-singlem/DRR128721.singlem.json.gz	DRR128721
DRR128722	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/ec06cbf4-b456-4558-85b9-9d066d5d8acf/call-singlem/DRR128722.singlem.json.gz	DRR128722
DRR160703	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/eee1d9e0-94e7-4a83-a5bc-d5c081f780c3/call-singlem/DRR160703.singlem.json.gz	DRR160703
DRR160705	6	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/3d177619-b9b7-4279-bafc-c23683df925f/call-singlem/DRR160705.singlem.json.gz	DRR160705
