entity:autotest2_sample_id	sra_accession	metagenome_size_in_GB	singlem_table	random_number
SRR3984954	SRR3984954	1	undefined	18
ERR5031941	ERR5031941	1	undefined	10
ERR3453541	ERR3453541	2	undefined	45
ERR4865519	ERR4865519	2	undefined	32
SRR13004965	SRR13004965	2	undefined	39
ERR4031780	ERR4031780	1	undefined	8
ERR4577380	ERR4577380	1	undefined	36
SRR12512309	SRR12512309	1	undefined	21
ERR4374862	ERR4374862	1	undefined	7
ERR4352501	ERR4352501	1	undefined	41
ERR3573267	ERR3573267	1	undefined	38
ERR4181511	ERR4181511	1	undefined	51
ERR3593853	ERR3593853	1	undefined	11
SRR11262366	SRR11262366	1	undefined	4
SRR10667692	SRR10667692	1	undefined	33
ERR3680132	ERR3680132	1	undefined	46
ERR3679759	ERR3679759	1	undefined	30
SRR10029126	SRR10029126	2	undefined	14
SRR10002686	SRR10002686	1	undefined	49
ERR3406155	ERR3406155	1	undefined	43
SRR8861225	SRR8861225	1	undefined	42
ERR2738611	ERR2738611	1	undefined	55
SRR8090771	SRR8090771	1	undefined	26
ERR1877770	ERR1877770	2	undefined	56
SRR7058443	SRR7058443	2	undefined	20
DRR128708	DRR128708	1	undefined	24
ERR1915814	ERR1915814	1	undefined	22
ERR1915575	ERR1915575	1	undefined	27
ERR1913562	ERR1913562	1	undefined	13
SRR6487994	SRR6487994	1	undefined	35
SRR4893026	SRR4893026	1	undefined	52
SRR640352	SRR640352	1	undefined	31
SRR540542	SRR540542	1	undefined	28
SRR539437	SRR539437	1	undefined	40
SRR6038407	SRR6038407	2	undefined	53
SRR5813263	SRR5813263	2	undefined	47
ERR479216	ERR479216	1	undefined	3
ERR479168	ERR479168	1	undefined	1
ERR719966	ERR719966	1	undefined	5
SRR1779149	SRR1779149	2	undefined	19
ERR260154	ERR260154	2	undefined	12
SRR13502469	SRR13502469	2	undefined	9
ERR4352680	ERR4352680	7	undefined	2
ERR4352741	ERR4352741	5	undefined	25
SRR9178091	SRR9178091	9	undefined	34
ERR3342492	ERR3342492	6	undefined	57
SRR8890819	SRR8890819	2	undefined	48
SRR7206624	SRR7206624	4	undefined	15
SRR061477	SRR061477	1	undefined	16
ERR1995157	ERR1995157	2	undefined	54
ERR1539431	ERR1539431	4	undefined	29
ERR3589569	ERR3589569	18	undefined	50
ERR2092774	ERR2092774	32	undefined	23
ERR1726547	ERR1726547	22	undefined	37
ERR599334	ERR599334	24	undefined	6
ERR599205	ERR599205	21	undefined	17
SRR10143270	SRR10143270	31	undefined	44
