entity:autotest3_sample_id	sra_accession	metagenome_size_in_GB	metagenome_size_in_gbp	singlem_table	random_number
SRR3984954	SRR3984954	1	1	undefined	1
ERR5031941	ERR5031941	1	3	undefined	9
ERR3453541	ERR3453541	2	4	undefined	3
ERR4865519	ERR4865519	2	4	undefined	37
SRR13004965	SRR13004965	2	3	undefined	26
ERR4031780	ERR4031780	1	1	undefined	30
ERR4577380	ERR4577380	1	1	undefined	44
SRR12512309	SRR12512309	1	2	undefined	15
ERR4374862	ERR4374862	1	1	undefined	24
ERR4352501	ERR4352501	1	2	undefined	28
ERR3573267	ERR3573267	1	2	undefined	51
ERR4181511	ERR4181511	1	1	undefined	11
ERR3593853	ERR3593853	1	2	undefined	53
SRR11262366	SRR11262366	1	1	undefined	33
SRR10667692	SRR10667692	1	1	undefined	57
ERR3680132	ERR3680132	1	2	undefined	56
ERR3679759	ERR3679759	1	2	undefined	47
SRR10029126	SRR10029126	2	4	undefined	8
SRR10002686	SRR10002686	1	2	undefined	6
ERR3406155	ERR3406155	1	3	undefined	4
SRR8861225	SRR8861225	1	1	undefined	40
ERR2738611	ERR2738611	1	1	undefined	46
SRR8090771	SRR8090771	1	2	undefined	5
ERR1877770	ERR1877770	2	3	undefined	50
SRR7058443	SRR7058443	2	4	undefined	20
DRR128708	DRR128708	1	1	undefined	12
ERR1915814	ERR1915814	1	1	undefined	35
ERR1915575	ERR1915575	1	1	undefined	25
ERR1913562	ERR1913562	1	1	undefined	18
SRR6487994	SRR6487994	1	1	undefined	48
SRR4893026	SRR4893026	1	3	undefined	22
SRR640352	SRR640352	1	1	undefined	29
SRR540542	SRR540542	1	1	undefined	49
SRR539437	SRR539437	1	1	undefined	38
SRR6038407	SRR6038407	2	2	undefined	10
SRR5813263	SRR5813263	2	3	undefined	39
ERR479216	ERR479216	1	2	undefined	36
ERR479168	ERR479168	1	1	undefined	13
ERR719966	ERR719966	1	1	undefined	14
SRR1779149	SRR1779149	2	3	undefined	2
ERR260154	ERR260154	2	3	undefined	52
SRR13502469	SRR13502469	2	5	undefined	55
ERR4352680	ERR4352680	7	15	undefined	19
ERR4352741	ERR4352741	5	11	undefined	7
SRR9178091	SRR9178091	9	20	undefined	21
ERR3342492	ERR3342492	6	12	undefined	17
SRR8890819	SRR8890819	2	5	undefined	43
SRR7206624	SRR7206624	4	11	undefined	34
SRR061477	SRR061477	1	5	undefined	23
ERR1995157	ERR1995157	2	5	undefined	31
ERR1539431	ERR1539431	4	6	undefined	16
ERR3589569	ERR3589569	18	29	undefined	42
ERR2092774	ERR2092774	32	58	undefined	45
ERR1726547	ERR1726547	22	35	undefined	54
ERR599334	ERR599334	24	35	undefined	41
ERR599205	ERR599205	21	34	undefined	27
SRR10143270	SRR10143270	31	110	undefined	32
