entity:sra_20210614_4_sample_id	metagenome_size_in_GB	metagenome_size_in_gbp	singlem_table	sra_accession
DRR198553	33	61	undefined	DRR198553
DRR247343	53	127	undefined	DRR247343
ERR1137078	1	2	undefined	ERR1137078
ERR1427797	2	4	undefined	ERR1427797
ERR1427798	1	3	undefined	ERR1427798
ERR1427799	2	3	undefined	ERR1427799
ERR1427821	12	32	undefined	ERR1427821
ERR1427822	2	6	undefined	ERR1427822
ERR1700725	12	19	undefined	ERR1700725
ERR1883421	1	1	undefined	ERR1883421
ERR1883422	1	1	undefined	ERR1883422
ERR1883424	1	1	undefined	ERR1883424
ERR1883436	1	2	undefined	ERR1883436
ERR1883463	1	1	undefined	ERR1883463
ERR1883474	1	1	undefined	ERR1883474
ERR1883475	1	1	undefined	ERR1883475
ERR1883478	1	1	undefined	ERR1883478
ERR1883480	1	1	undefined	ERR1883480
ERR1883486	1	2	undefined	ERR1883486
ERR1883495	1	1	undefined	ERR1883495
ERR1913002	2	2	undefined	ERR1913002
ERR1915481	1	1	undefined	ERR1915481
ERR2000664	4	8	undefined	ERR2000664
ERR2592344	1	2	undefined	ERR2592344
ERR2762174	25	41	undefined	ERR2762174
ERR2828450	8	20	undefined	ERR2828450
ERR315802	32	50	undefined	ERR315802
ERR3262717	1	1	undefined	ERR3262717
ERR3262718	1	1	undefined	ERR3262718
ERR3262720	1	1	undefined	ERR3262720
ERR3262721	1	1	undefined	ERR3262721
ERR3262723	1	1	undefined	ERR3262723
ERR3262724	1	1	undefined	ERR3262724
ERR3262725	1	2	undefined	ERR3262725
ERR3262733	1	2	undefined	ERR3262733
ERR3262735	1	1	undefined	ERR3262735
ERR3262739	1	1	undefined	ERR3262739
ERR3262748	1	1	undefined	ERR3262748
ERR3262752	1	1	undefined	ERR3262752
ERR3262756	1	1	undefined	ERR3262756
ERR3262762	1	1	undefined	ERR3262762
ERR3262763	1	1	undefined	ERR3262763
ERR3262768	1	1	undefined	ERR3262768
ERR3354482	1	2	undefined	ERR3354482
ERR3354485	1	1	undefined	ERR3354485
ERR3354488	1	1	undefined	ERR3354488
ERR3354490	1	1	undefined	ERR3354490
ERR3354491	1	1	undefined	ERR3354491
ERR3354493	1	1	undefined	ERR3354493
ERR3354496	1	1	undefined	ERR3354496
ERR3354502	1	2	undefined	ERR3354502
ERR3354504	1	2	undefined	ERR3354504
ERR3354506	1	1	undefined	ERR3354506
ERR3354508	1	1	undefined	ERR3354508
ERR3354512	1	1	undefined	ERR3354512
ERR3592884	1	2	undefined	ERR3592884
ERR3726409	1	1	undefined	ERR3726409
ERR3799539	2	4	undefined	ERR3799539
ERR4170306	1	1	undefined	ERR4170306
ERR4170309	1	1	undefined	ERR4170309
ERR4170313	1	1	undefined	ERR4170313
ERR4170315	1	1	undefined	ERR4170315
ERR4170316	1	1	undefined	ERR4170316
ERR4170317	1	1	undefined	ERR4170317
ERR4170318	1	1	undefined	ERR4170318
ERR4170320	1	1	undefined	ERR4170320
ERR4170323	1	1	undefined	ERR4170323
ERR4170325	1	2	undefined	ERR4170325
ERR4170326	1	2	undefined	ERR4170326
ERR4170327	1	1	undefined	ERR4170327
ERR4170328	1	1	undefined	ERR4170328
ERR4170329	1	1	undefined	ERR4170329
ERR4170330	1	1	undefined	ERR4170330
ERR4170332	1	1	undefined	ERR4170332
ERR4170333	1	1	undefined	ERR4170333
ERR4170334	1	1	undefined	ERR4170334
ERR4170335	1	1	undefined	ERR4170335
ERR4170336	1	1	undefined	ERR4170336
ERR4170337	1	1	undefined	ERR4170337
ERR4170338	1	1	undefined	ERR4170338
ERR4170348	1	1	undefined	ERR4170348
ERR4170349	1	1	undefined	ERR4170349
ERR4170352	1	1	undefined	ERR4170352
ERR4170357	1	1	undefined	ERR4170357
ERR4170384	1	1	undefined	ERR4170384
ERR4170388	1	1	undefined	ERR4170388
ERR4457610	2	7	undefined	ERR4457610
ERR4691589	25	39	undefined	ERR4691589
ERR5032504	1	1	undefined	ERR5032504
ERR5032505	1	1	undefined	ERR5032505
ERR5032508	1	1	undefined	ERR5032508
ERR5032509	1	4	undefined	ERR5032509
ERR5032510	1	1	undefined	ERR5032510
ERR5032511	1	4	undefined	ERR5032511
ERR5032513	1	4	undefined	ERR5032513
ERR5032516	2	4	undefined	ERR5032516
ERR5032517	1	1	undefined	ERR5032517
ERR5032518	1	1	undefined	ERR5032518
ERR5032520	2	5	undefined	ERR5032520
ERR5032521	1	4	undefined	ERR5032521
ERR5032523	1	1	undefined	ERR5032523
ERR5032524	1	1	undefined	ERR5032524
ERR5032525	1	1	undefined	ERR5032525
ERR5032526	1	1	undefined	ERR5032526
ERR5032528	1	1	undefined	ERR5032528
ERR5032529	2	4	undefined	ERR5032529
ERR5032539	1	1	undefined	ERR5032539
ERR5032544	1	1	undefined	ERR5032544
ERR5032547	1	1	undefined	ERR5032547
ERR5032548	2	4	undefined	ERR5032548
ERR5032549	1	1	undefined	ERR5032549
ERR5032550	1	1	undefined	ERR5032550
ERR5295746	1	3	undefined	ERR5295746
ERR5693769	1	1	undefined	ERR5693769
ERR5693772	1	2	undefined	ERR5693772
ERR5693775	1	1	undefined	ERR5693775
ERR5693778	1	2	undefined	ERR5693778
ERR5693780	1	2	undefined	ERR5693780
ERR5693781	1	1	undefined	ERR5693781
ERR5693782	1	1	undefined	ERR5693782
ERR5693788	1	1	undefined	ERR5693788
ERR5693790	1	2	undefined	ERR5693790
ERR5693792	1	1	undefined	ERR5693792
ERR5693797	1	1	undefined	ERR5693797
ERR5693803	1	1	undefined	ERR5693803
ERR5693805	1	2	undefined	ERR5693805
ERR5693806	1	2	undefined	ERR5693806
ERR5693807	1	2	undefined	ERR5693807
ERR5693808	1	2	undefined	ERR5693808
ERR5693810	1	2	undefined	ERR5693810
ERR5693811	1	2	undefined	ERR5693811
ERR5693812	1	2	undefined	ERR5693812
